,street,postalcode,lon,lat
0,0,Elmegade 2 2200 K?benhavn N,12.5578332,55.6892934
1,1,Universitetsparken 15 2100 K?benhavn ?,12.5590367,55.7024935
2,2,Tarphagevej 6 6710 Esbjerg V,8.411124599999999,55.4894416
3,3,Kroghsgade 5 2100 K?benhavn ?,12.574441,55.696509
4,4,Storegade 28 6700 Esbjerg,8.4661188,55.47145250000001
5,5,Hjallesevej 130 5230 Odense M,10.3963852,55.38066110000001
6,6,Tarupg?rdsvej 1 5210 Odense NV,10.3502187,55.4092361
7,7,Vigerslevvej 229 2500 Valby,12.487745599999998,55.6540601
8,8,Niels Bohrs All? 150 5230 Odense M,10.4312669,55.3776985
9,9,Frejasvej 25 3400 Hiller?d,12.2873585,55.9323892
10,10,Viborgvej 155B 8210 Aarhus V,10.1618206,56.1682064
11,11,Vestergade 20 7100 Vejle,9.536899,55.71285400000001
12,12,Immervad 1 8000 Aarhus,10.2075416,56.1575284
13,13,Vesterbro Torv 17 8000 Aarhus C,10.1986464,56.1578366
14,14,Albanigade 19 5000 Odense C,10.3939169,55.3942134
15,15,Vigerslevvej 222 2500 Valby,12.4854155,55.655972
16,16,Gammel K?ge Landevej 198 2500 Valby,12.5013628,55.6431961
17,17,Danasvej 30 1910 Frederiksberg C,12.5507497,55.679554
18,18,Godth?bsvej 85A 2000 Frederiksberg,12.5231139,55.6886735
19,19,Frederikssundsvej 290 2700 Br?nsh?j,12.4772025,55.7108103
20,20,Nordre Fasanvej 46 2000 Frederiksberg,12.5245604,55.6836628
21,21,Serridslevvej 2 2100 K?benhavn ?,12.5748189,55.7057152
22,22,H.C. Andersens Boulevard 8 1553 K?benhavn V,12.566021,55.67706
23,23,Studiestr?de 61 1554 K?benhavn V,12.56532,55.676871
24,24,Islands Brygge 1B 2300 K?benhavn S,12.5802893,55.6691735
25,25,H.C. ?rsteds Vej 25 1879 Frederiksberg,12.54731,55.67912
26,26,Elmegade 2 2200 K?benhavn N,12.5578332,55.6892934
27,27,Universitetsparken 15 2100 K?benhavn ?,12.5590367,55.7024935
28,28,Tarphagevej 6 6710 Esbjerg V,8.411124599999999,55.4894416
29,29,Kroghsgade 5 2100 K?benhavn ?,12.574441,55.696509
30,30,Storegade 28 6700 Esbjerg,8.4661188,55.47145250000001
31,31,Hjallesevej 130 5230 Odense M,10.3963852,55.38066110000001
